=== UALBF Engine Trace Log: Run Started at Fri Mar 20 22:12:17 2026 ===
   Compiling ualbf_engine v0.1.0 (/Volumes/ExternalSSD/code/quasipolynomials/ualbf-project/rust-engine)
    Finished `release` profile [optimized] target(s) in 1.95s
     Running `target/release/ualbf_engine`
=== UALBF Engine Initializing ===
Target Bound: N > 10^50
PROGRESS|PHASE|1|Legendre-Cattaneo Sieve
PROGRESS|UPDATE|240000|4428369|Processed 240000 prefixes...
PROGRESS|UPDATE|241000|4446112|Processed 241000 prefixes...
PROGRESS|UPDATE|242000|4468035|Processed 242000 prefixes...
PROGRESS|UPDATE|243000|4486182|Processed 243000 prefixes...
PROGRESS|UPDATE|244000|4504521|Processed 244000 prefixes...
PROGRESS|UPDATE|245000|4525242|Processed 245000 prefixes...
PROGRESS|UPDATE|246000|4546641|Processed 246000 prefixes...
PROGRESS|UPDATE|247000|4570058|Processed 247000 prefixes...
PROGRESS|UPDATE|248000|4593760|Processed 248000 prefixes...
PROGRESS|UPDATE|249000|4614231|Processed 249000 prefixes...
PROGRESS|UPDATE|250000|4636410|Processed 250000 prefixes...
PROGRESS|UPDATE|251000|4654437|Processed 251000 prefixes...
PROGRESS|UPDATE|252000|4674003|Processed 252000 prefixes...
PROGRESS|UPDATE|253000|4692086|Processed 253000 prefixes...
PROGRESS|UPDATE|254000|4711337|Processed 254000 prefixes...
PROGRESS|UPDATE|255000|4727751|Processed 255000 prefixes...
PROGRESS|UPDATE|256000|4745975|Processed 256000 prefixes...
PROGRESS|UPDATE|257000|4762702|Processed 257000 prefixes...
PROGRESS|UPDATE|258000|4779304|Processed 258000 prefixes...
PROGRESS|UPDATE|259000|4795942|Processed 259000 prefixes...
PROGRESS|UPDATE|260000|4815461|Processed 260000 prefixes...
PROGRESS|UPDATE|261000|4831907|Processed 261000 prefixes...
PROGRESS|UPDATE|262000|4850986|Processed 262000 prefixes...
PROGRESS|UPDATE|263000|4872339|Processed 263000 prefixes...
PROGRESS|UPDATE|264000|4893621|Processed 264000 prefixes...
PROGRESS|UPDATE|265000|4913359|Processed 265000 prefixes...
PROGRESS|UPDATE|266000|4934502|Processed 266000 prefixes...
PROGRESS|UPDATE|267000|4950387|Processed 267000 prefixes...
PROGRESS|UPDATE|268000|4969046|Processed 268000 prefixes...
PROGRESS|UPDATE|269000|4986893|Processed 269000 prefixes...
PROGRESS|UPDATE|270000|5005485|Processed 270000 prefixes...
PROGRESS|UPDATE|271000|5027849|Processed 271000 prefixes...
PROGRESS|UPDATE|272000|5048686|Processed 272000 prefixes...
PROGRESS|UPDATE|273000|5069517|Processed 273000 prefixes...
PROGRESS|UPDATE|274000|5090457|Processed 274000 prefixes...
PROGRESS|UPDATE|275000|5108921|Processed 275000 prefixes...
PROGRESS|UPDATE|276000|5124658|Processed 276000 prefixes...
PROGRESS|UPDATE|277000|5145373|Processed 277000 prefixes...
PROGRESS|UPDATE|278000|5162706|Processed 278000 prefixes...
PROGRESS|UPDATE|279000|5179217|Processed 279000 prefixes...
PROGRESS|UPDATE|280000|5193832|Processed 280000 prefixes...
PROGRESS|UPDATE|281000|5210256|Processed 281000 prefixes...
PROGRESS|UPDATE|282000|5228477|Processed 282000 prefixes...
PROGRESS|UPDATE|283000|5247613|Processed 283000 prefixes...
PROGRESS|UPDATE|284000|5265056|Processed 284000 prefixes...
PROGRESS|UPDATE|285000|5280518|Processed 285000 prefixes...
PROGRESS|UPDATE|286000|5294593|Processed 286000 prefixes...
PROGRESS|UPDATE|287000|5308923|Processed 287000 prefixes...
PROGRESS|UPDATE|288000|5325521|Processed 288000 prefixes...
PROGRESS|UPDATE|289000|5341262|Processed 289000 prefixes...
PROGRESS|UPDATE|290000|5356179|Processed 290000 prefixes...
PROGRESS|UPDATE|291000|5370006|Processed 291000 prefixes...
PROGRESS|UPDATE|292000|5386911|Processed 292000 prefixes...
PROGRESS|UPDATE|293000|5402438|Processed 293000 prefixes...
PROGRESS|UPDATE|294000|5417597|Processed 294000 prefixes...
PROGRESS|UPDATE|295000|5431943|Processed 295000 prefixes...
PROGRESS|UPDATE|296000|5447870|Processed 296000 prefixes...
PROGRESS|UPDATE|297000|5463562|Processed 297000 prefixes...
PROGRESS|UPDATE|298000|5479317|Processed 298000 prefixes...
PROGRESS|UPDATE|299000|5495753|Processed 299000 prefixes...
PROGRESS|UPDATE|300000|5514540|Processed 300000 prefixes...
PROGRESS|UPDATE|301000|5534231|Processed 301000 prefixes...
PROGRESS|UPDATE|302000|5550750|Processed 302000 prefixes...
PROGRESS|UPDATE|303000|5566538|Processed 303000 prefixes...
PROGRESS|UPDATE|304000|5583781|Processed 304000 prefixes...
PROGRESS|UPDATE|305000|5601224|Processed 305000 prefixes...
PROGRESS|UPDATE|306000|5617501|Processed 306000 prefixes...
PROGRESS|UPDATE|307000|5632896|Processed 307000 prefixes...
PROGRESS|UPDATE|308000|5649286|Processed 308000 prefixes...
PROGRESS|UPDATE|309000|5664546|Processed 309000 prefixes...
PROGRESS|UPDATE|310000|5675055|Processed 310000 prefixes...
PROGRESS|UPDATE|311000|5688639|Processed 311000 prefixes...
PROGRESS|UPDATE|312000|5700442|Processed 312000 prefixes...
PROGRESS|UPDATE|313000|5713733|Processed 313000 prefixes...
PROGRESS|UPDATE|314000|5725712|Processed 314000 prefixes...
PROGRESS|UPDATE|315000|5739263|Processed 315000 prefixes...
PROGRESS|UPDATE|316000|5750589|Processed 316000 prefixes...
PROGRESS|UPDATE|317000|5764247|Processed 317000 prefixes...
PROGRESS|UPDATE|318000|5781912|Processed 318000 prefixes...
PROGRESS|UPDATE|319000|5799954|Processed 319000 prefixes...
PROGRESS|UPDATE|320000|5819606|Processed 320000 prefixes...
PROGRESS|UPDATE|321000|5838603|Processed 321000 prefixes...
PROGRESS|UPDATE|322000|5856173|Processed 322000 prefixes...
PROGRESS|UPDATE|323000|5872909|Processed 323000 prefixes...
PROGRESS|UPDATE|324000|5888398|Processed 324000 prefixes...
PROGRESS|UPDATE|325000|5903401|Processed 325000 prefixes...
PROGRESS|UPDATE|326000|5921035|Processed 326000 prefixes...
PROGRESS|UPDATE|327000|5936990|Processed 327000 prefixes...
PROGRESS|UPDATE|328000|5950554|Processed 328000 prefixes...
PROGRESS|UPDATE|329000|5964683|Processed 329000 prefixes...
PROGRESS|UPDATE|330000|5981670|Processed 330000 prefixes...
PROGRESS|UPDATE|331000|5995455|Processed 331000 prefixes...
PROGRESS|UPDATE|332000|6010312|Processed 332000 prefixes...
PROGRESS|UPDATE|333000|6026406|Processed 333000 prefixes...
PROGRESS|UPDATE|334000|6041162|Processed 334000 prefixes...
PROGRESS|UPDATE|335000|6055367|Processed 335000 prefixes...
PROGRESS|UPDATE|336000|6072185|Processed 336000 prefixes...
PROGRESS|UPDATE|337000|6085042|Processed 337000 prefixes...
PROGRESS|UPDATE|338000|6097960|Processed 338000 prefixes...
PROGRESS|UPDATE|339000|6113806|Processed 339000 prefixes...
PROGRESS|UPDATE|340000|6129620|Processed 340000 prefixes...
PROGRESS|UPDATE|341000|6146049|Processed 341000 prefixes...
PROGRESS|UPDATE|342000|6162691|Processed 342000 prefixes...
PROGRESS|UPDATE|343000|6180063|Processed 343000 prefixes...
PROGRESS|UPDATE|344000|6195348|Processed 344000 prefixes...
PROGRESS|UPDATE|345000|6209956|Processed 345000 prefixes...
PROGRESS|UPDATE|346000|6226147|Processed 346000 prefixes...
PROGRESS|UPDATE|347000|6242347|Processed 347000 prefixes...
PROGRESS|UPDATE|348000|6260643|Processed 348000 prefixes...
